series_en,series_vi,mystery_no,bible_verses,name_en,name_vi,prayer_vi
Joyful Mysteries,Năm sự Vui,1,Lk 1:26-27,The Annunciation,Thiên Thần truyền tin cho Đức Bà chịu thai,Ta hãy xin cho được ở khiêm nhường
Joyful Mysteries,Năm sự Vui,2,Lk 1:39-42,The Visitation,Đức Bà đi viếng bà thánh Isave,Ta hãy xin cho được lòng yêu người
Joyful Mysteries,Năm sự Vui,3,Lk 2:1-7,The Birth of Our Lord,Đức Bà sinh Đức Chúa Giêsu nơi hang đá,Ta hãy xin cho được lòng khó khăn
Joyful Mysteries,Năm sự Vui,4,Lk 2:21-24,The Presentation in the Temple,Đức Bà dâng Đức Chúa Giêsu trong đền thánh,Ta hãy xin cho được vâng lời chịu lụy
Joyful Mysteries,Năm sự Vui,5,Lk 2:41-47,The finding of Jesus in the Temple,Đức Bà tìm được Đức Chúa Giêsu trong đền thánh,Ta hãy xin cho được giữ nghĩa cùng Chúa luôn
Luminous Mysteries,Năm sự Sáng,1,Mt 3:16-17,The Baptism in the Jordan,Đức Chúa Giêsu chịu phép rửa tại sông Giođan,Ta hãy xin cho được sống xứng đáng là con Thiên Chúa
Luminous Mysteries,Năm sự Sáng,2,Jn 2:1-5,The wedding feast of Cana,Đức Chúa Giêsu dự tiệc cưới Cana,Ta hãy xin cho được noi gương Đức Mẹ mà vững tin vào Chúa
Luminous Mysteries,Năm sự Sáng,3,Mk 1:15,The proclamation of the kingdom of God,Đức Chúa Giêsu rao giảng Nước Trời và kêu gọi sám hối,Ta hãy xin cho được tin vào lòng Chúa thương xót và siêng năng lãnh nhận bí tích Giao hòa
Luminous Mysteries,Năm sự Sáng,4,Mt 17:1-2,The Transfiguration,Đức Chúa Giêsu biến hình trên núi,Ta hãy xin cho được biến đổi nhờ Chúa Thánh Thần
Luminous Mysteries,Năm sự Sáng,5,Mt 26:26,The institution of the Eucharist,Đức Chúa Giêsu lập bí tích Thánh Thể,Ta hãy xin cho được siêng năng tham dự Thánh lễ và rước Mình Máu Thánh Người
Sorrowful Mysteries,Năm sự Thương,1,Mt 26:36-39,The agony in the Garden,Đức Chúa Giêsu lo buồn đổ mồ hôi máu,Ta hãy xin cho được ăn năn tội nên
Sorrowful Mysteries,Năm sự Thương,2,Mt 27:26,The scourging at the pillar,Đức Chúa Giêsu chịu đánh đòn,Ta hãy xin cho được hãm mình chịu khó bằng lòng
Sorrowful Mysteries,Năm sự Thương,3,Mt 27:27-29,The crowning with thorns,Đức Chúa Giêsu chịu đội mão gai,Ta hãy xin cho được chịu mọi sự sỉ nhục bằng lòng
Sorrowful Mysteries,Năm sự Thương,4,Mk 15:21-22,The carrying of the cross,Đức Chúa Giêsu vác cây Thánh giá,Ta hãy xin cho được vác thánh giá theo chân Chúa
Sorrowful Mysteries,Năm sự Thương,5,Lk 23:33-46,The crucifixion,Đức Chúa Giêsu chịu chết trên cây Thánh giá,Ta hãy xin cho được đóng đanh tính xác thịt vào thánh giá Chúa
Glorious Mysteries,Năm sự Mừng,1,Lk 24:1-5,The Resurrection,Đức Chúa Giêsu sống lại,Ta hãy xin cho được sống lại thật về phần linh hồn
Glorious Mysteries,Năm sự Mừng,2,Mk 16:19,The Ascension,Đức Chúa Giêsu lên trời,Ta hãy xin cho được ái mộ những sự trên trời
Glorious Mysteries,Năm sự Mừng,3,Acts 2:1-4,The descent of the Holy Spirit,Đức Chúa Thánh Thần hiện xuống,Ta hãy xin cho được lòng đầy rẫy mọi ơn Đức Chúa Thánh Thần
Glorious Mysteries,Năm sự Mừng,4,Lk 1:48-49,The Assumption,Đức Chúa Trời cho Đức Bà lên trời,Ta hãy xin cho được ơn chết lành trong tay Đức Mẹ
Glorious Mysteries,Năm sự Mừng,5,Rev 12:1,The crowning of Our Lady Queen of Heaven,Đức Chúa Trời thưởng Đức Mẹ trên trời,Ta hãy xin Đức Mẹ phù hộ cho ta được thưởng cùng Đức Mẹ trên nước thiên đàng